herd,field,acres_grazed,move_type,days,date,cover,avg from sections,observer,Notes
brood,GP1A,,day_in,4,4/15/2025,,,,with bales
brood,GP1A,,day_out,,4/19/2025,1270,,,with bales
brood,Briar,,day_in,3,4/19/2025,1802,,,
brood,Briar,,day_out,,4/22/2025,1522,,,
brood,GP_woods,,day_in,1,4/22/2025,1970,,,
brood,GP_woods,,day_out,,4/23/2025,1793,,,
brood,GP7,10.80,day_in,3,4/23/2025,1746,,,
brood,GP7,10.80,day_out,,4/26/2025,1498,,,
brood,GP8A,,day_in,2,4/26/2025,1829,,,
brood,GP8A,,day_out,,4/28/2025,1390,,,
brood,GP8B,,day_in,3,4/28/2025,2320,,,
brood,GP8B,,day_out,,5/1/2025,2033,,,
brood,GP6C ,,day_in,4,5/1/2025,2698,,,
brood,GP6C ,,day_out,,5/5/2025,2248,,,
brood,GP5D ,,day_in,2,5/5/2025,,,,
brood,GP5D ,,day_out,,5/7/2025,,,,
brood,GP4C ,,day_in,2,5/7/2025,3160,,,
brood,GP4C,,day_out,,5/9/2025,2740,,,
brood,GP4B ,,day_in,2,5/9/2025,3202,,,
brood,GP4B,,day_out,,5/11/2025,2012,,,
brood,GP4A,,day_in,3,5/11/2025,3076,,,
brood,GP4A,,day_out,,5/14/2025,2527,,,
brood,GP3,11.30,day_in,16,5/14/2025,2741,2741,,
brood,GP3,11.30,day_out,,5/30/2025,2315,2315,,
brood,GP1A,5.25,day_in,3,5/30/2025,4252,,,west section
brood,GP1A,5.25,day_out,,6/2/2025,,,,west section
brood,GP5B,,day_in,1,6/2/2025,,,,
brood,GP5B,,day_out,,6/3/2025,,,,
brood,GP6A,,day_in,8,6/3/2025,3790,,,
brood,GP6A,,day_out,,6/11/2025,2768,,,
brood,GP7,4.00,day_in,2,6/11/2025,3888,,,see notes (N section)
brood,GP7,4.00,day_out,,6/13/2025,,,,see notes (N section)
brood,GP3,3.38,day_in,3,6/13/2025,,,, this grazing didn't include area in the trees between buffer and plot 5
brood,GP3,3.38,day_out,,6/16/2025,1562,,, this grazing didn't include area in the trees between buffer and plot 5
brood,GP2B,,day_in,12,6/16/2025,4630,,,
brood,GP2B,,day_out,,6/28/2025,2432,,,
brood,GP2A,3.75,day_in,3,6/28/2025,3888,,,acreage from new borders drawn around wet area plus willows rarely or never grazed
brood,GP2A,3.75,day_out,,7/1/2025,3524,,,acreage from new borders drawn around wet area plus willows rarely or never grazed
brood,GP1B,,day_in,1,7/1/2025,,,,
brood,GP1B,,day_out,,7/2/2025,2516,,,
brood,GP1A,,day_in,4,7/2/2025,4126,,,
brood,GP1A,,day_out,,7/6/2025,3720,,,
brood,GP6A,8.69,day_in,6,7/6/2025,3551,3551,,
brood,GP6A,8.69,day_out,,7/12/2025,2516,2516,,
brood,GP7,4.00,day_in,4,7/12/2025,,,,
brood,GP7,4.00,day_out,,7/16/2025,2068,,,
brood,GP8A,,day_in,2,7/16/2025,,,,
