herd,field,paddock_plot,move_type,days,date,
brood,GP1A,1,day_out,,4/19/2025,
brood,Briar,1,day_out,,4/22/2025,
brood,GP_woods,1,day_out,,4/23/2025,
brood,GP7,1,day_out,,4/26/2025,
brood,GP8A,1,day_out,,4/28/2025,
brood,GP8B,1,day_out,,5/1/2025,
brood,GP6C ,1,day_out,,5/5/2025,
brood,GP5D ,1,day_out,,5/7/2025,
brood,GP4C ,1,day_out,,5/9/2025,
brood,GP4B ,1,day_out,,5/11/2025,
brood,GP4A,1,day_out,,5/14/2025,
brood,GP3 ,1,day_out,,5/30/2025,
brood,GP1A,1,day_out,,6/2/2025,
brood,GP5B,1,day_out,,6/3/2025,
brood,GP6A,1,day_out,,6/11/2025,
brood,GP7,1,day_out,,6/13/2025,
brood,GP3 ,1,day_out,,6/16/2025,
brood,GP2B,1,day_out,,6/28/2025,
brood,GP2A,1,day_out,,7/1/2025,
brood,GP1B,1,day_out,,7/2/2025,
brood,GP1A,1,day_out,,7/6/2025,
brood,GP6A,1,day_out,,7/12/2025,
brood,GP7,1,day_out,,7/16/2025,
brood,GP8A,1,day_out,,7/18/2025,
brood,GP7,1,day_out,,7/20/2025,
brood,GP6C ,1,day_out,,7/22/2025,
brood,GP5D ,1,day_out,,7/26/2025,
brood,GP5B,1,day_out,,7/28/2025,
brood,GP5A,1,day_out,,7/30/2025,
brood,GP3,1,day_out,,8/8/2025,
brood,GP4C ,1,day_out,,8/9/2025,
brood,GP4B ,1,day_out,,8/10/2025,
brood,GP4A,1,day_out,,8/13/2025,
brood,GP3,1,day_out,,8/22/2025,
brood,GP2B,1,day_out,,8/27/2025,
brood,GP2A,1,day_out,,8/29/2025,
brood,GP1B,1,day_out,,9/2/2025,
brood,plains_wet,1,day_out,,9/6/2025,
brood,long_meadow,1,day_out,,9/12/2025,
brood,GP8A,1,day_out,,9/16/2025,
brood,GP8C,1,day_out,,9/18/2025,
brood,GP7,1,day_out,,9/24/2025,
brood,GP6C ,1,day_out,,9/25/2025,
brood,GP6B,1,day_out,,9/27/2025,
brood,GP6A,1,day_out,,9/28/2025,
brood,GP5A,1,day_out,,9/29/2025,
brood,GP5C,1,day_out,,9/30/2025,
brood,GP4C ,1,day_out,,10/3/2025,
brood,GP4B ,1,day_out,,10/6/2025,
brood,GP4A,1,day_out,,10/9/2025,
brood,GP3,1,day_out,,10/23/2025,
brood,GP2B,1,day_out,,10/27/2025,
brood,GP2A,1,day_out,,10/29/2025,
brood,GP1B,1,day_out,,10/30/2025,
brood,GP1A,1,day_out,,11/4/2025,
brood,GP7,1,day_out,,11/9/2025,
brood,leos,1,day_out,,11/14/2025,
brood,playground,1,day_out,,11/25/2025,
brood,GP6,1,day_out,,11/30/2025,
brood,GP1,1,day_out,,,
feeders,sunset_field,1,day_out,,5/3/2025,
feeders,sunset_hill,1,day_out,,5/6/2025,
feeders,lower_sunset,1,day_out,,5/10/2025,
feeders,pond_field,1,day_out,,5/11/2025,
feeders,horse,1,day_out,,5/20/2025,
feeders,lower_home,1,day_out,,5/23/2025,
feeders,triangle_lower,1,day_out,,5/27/2025,
feeders,railroad,1,day_out,,5/30/2025,
feeders,drainage,1,day_out,,6/10/2025,
feeders,lower_barberry,1,day_out,,6/13/2025,
feeders,lower_underhill,1,day_out,,6/16/2025,
feeders,sunset_field,1,day_out,,6/19/2025,
feeders,sunset_hill,1,day_out,,6/25/2025,
feeders,pond_field,1,day_out,,6/28/2025,
feeders,horse,1,day_out,,7/7/2025,
feeders,lower_home,1,day_out,,7/10/2025,
feeders,triangle_lower,1,day_out,,7/13/2025,
feeders,railroad,1,day_out,,7/16/2025,
feeders,drainage,1,day_out,,7/30/2025,
feeders,lower_underhill,1,day_out,,8/3/2025,
feeders,lower_barberry,1,day_out,,8/6/2025,
feeders,underhill,1,day_out,,8/16/2025,
feeders,barberry_woods,1,day_out,,8/18/2025,
feeders,bull,1,day_out,,8/21/2025,
feeders,sunset_field,1,day_out,,8/24/2025,
feeders,sunset_hill,1,day_out,,8/28/2025,
feeders,pond_field,1,day_out,,9/2/2025,
feeders,horse,1,day_out,,9/8/2025,
feeders,lower_home,1,day_out,,9/10/2025,
feeders,triangle_lower,1,day_out,,9/13/2025,
feeders,triangle_upper,1,day_out,,9/17/2025,
feeders,railroad,1,day_out,,9/19/2025,
feeders,briar,1,day_out,,10/3/2025,
feeders,drainage,1,day_out,,10/13/2025,
feeders,lower_barberry,1,day_out,,10/16/2025,
feeders,barberry_woods,1,day_out,,10/19/2025,
feeders,wilson,1,day_out,,10/25/2025,
feeders,underhill,1,day_out,,10/30/2025,
feeders,underhill_wet,1,day_out,,11/6/2025,
feeders,bull,1,day_out,,11/11/2025,
feeders,sunset_hill,1,day_out,,11/14/2025,
feeders,lower_sunset,1,day_out,,11/21/2025,
feeders,williams_west,1,day_out,,,
brood,GP1A,1,day_in,4,4/15/2025,
brood,Briar,1,day_in,3,4/19/2025,
brood,GP_woods,1,day_in,1,4/22/2025,
brood,GP7,1,day_in,3,4/23/2025,
