ear_tag,name,animal_type,sex,status,birth_date,weaning_date,sale_date,reason_for_sale,death_date,cause_of_death,promote_date
2306,,Calf,Steer,Sold,5/13/23,11/30/23,6/22/25,Harvest,,,
2315,,Calf,Steer,Sold,5/22/23,11/30/23,6/22/25,Harvest,,,
2323,,Calf,Steer,Sold,6/5/23,11/30/23,6/22/25,Harvest,,,
2325,,Calf,Steer,Sold,6/7/23,11/30/23,6/22/25,Harvest,,,
2326,,Calf,Steer,Sold,7/8/23,11/30/23,6/22/25,Harvest,,,
2401,,Calf,Heifer,Sold,5/5/24,10/17/24,8/4/25,Herd Reduction,,,
2402,,Calf,Steer,Sold,5/7/24,10/17/24,8/4/25,Herd Reduction,,,
2403,,Calf,Steer,Active,5/8/24,10/17/24,,,,,
2404,,Calf,Heifer,Active,5/8/24,10/17/24,,,,,
2405,,Calf,Steer,Active,5/8/24,10/17/24,,,,,
2406,,Calf,Steer,Active,5/9/24,10/17/24,,,,,
2407,,Calf,Steer,Active,5/10/24,10/17/24,,,,,
2408,,Calf,Steer,Active,5/10/24,10/17/24,,,,,
2409,,Calf,Steer,Active,5/12/24,10/17/24,,,,,
2410,,Calf,Steer,Sold,5/12/24,10/17/24,8/4/25,Herd Reduction,,,
2412,,Calf,Heifer,Active,5/14/24,10/17/24,,,,,
2413,,Calf,Steer,Active,5/14/24,10/17/24,,,,,
2411,,Calf,Steer,Active,5/24/24,10/17/24,,,,,
2414,,Calf,Steer,Active,5/24/24,10/17/24,,,,,
2415,,Calf,Heifer,Active,5/24/24,10/17/24,,,,,
2416,,Calf,Heifer,Active,5/24/24,10/17/24,,,,,
2417,,Calf,Heifer,Active,5/20/24,10/17/24,,,,,
2418,,Calf,Heifer,Active,5/22/24,10/17/24,,,,,
2419,,Calf,Heifer,Active,5/28/24,10/17/24,,,,,
2420,,Calf,Heifer,Active,5/30/24,10/17/24,,,,,
2421,,Calf,Heifer,Active,5/31/24,10/17/24,,,,,
2422,,Calf,Steer,Active,5/31/24,10/17/24,,,,,
2423,,Calf,Heifer,Active,6/4/24,10/17/24,,,,,
2424,,Calf,Heifer,Active,6/4/24,10/17/24,,,,,
2426,,Calf,Heifer,Active,6/5/24,10/17/24,,,,,
2428,,Calf,Heifer,Active,6/11/24,10/17/24,,,,,
2429,,Calf,Steer,Active,6/11/24,10/17/24,,,,,
2427,,Calf,Steer,Active,6/6/24,10/17/24,,,,,
2430,,Calf,Heifer,Active,6/17/24,10/17/24,,,,,
2431,,Calf,Heifer,Active,6/18/24,10/17/24,,,,,
2501,Eamon,Calf,Heifer,Active,4/6/25,11/4/25,,,,,
2503,Maude,Calf,Heifer,Active,4/7/25,11/4/25,,,,,
2504,Betty,Calf,Heifer,Active,4/7/25,11/4/25,,,,,
2505,Maurice,Calf,Steer,Active,4/8/25,11/4/25,,,,,
2502,Thea,Calf,Heifer,Sold,4/6/25,11/4/25,11/18/25,,,,
2506,Daphne,Calf,Heifer,Active,4/16/25,11/4/25,,,,,
2507,Wilhelm Percival,Calf,Steer,Active,4/17/25,11/4/25,,,,,
2510,Jess,Calf,Heifer,Active,4/28/25,11/4/25,,,,,
2509,Waco,Calf,Steer,Active,4/27/25,11/4/25,,,,,
2512,Freida,Calf,Heifer,Sold,4/29/25,11/4/25,11/18/25,,,,
2511,Wesley,Calf,Steer,Active,4/28/25,11/4/25,,,,,
2513,Bartholomew,Calf,Steer,Active,4/30/25,11/4/25,,,,,
2514,Frank,Calf,Steer,Active,5/11/25,11/4/25,,,,,
2515,Hans,Calf,Steer,Active,5/13/25,11/4/25,,,,,
2516,Timbuck,Calf,Steer,Active,5/19/25,11/4/25,,,,,
2517,Timbucktu,Calf,Heifer,Active,5/19/25,11/4/25,,,,,
2518,Sven,Calf,Steer,Active,5/20/25,11/4/25,,,,,
2521,Rosie,Calf,Heifer,Active,5/26/25,11/4/25,,,,,
2519,Lillemor,Calf,Heifer,Active,5/23/25,11/4/25,,,,,
2520,Bernadette,Calf,Heifer,Active,5/24/25,11/4/25,,,,,
2522,Ramona,Calf,Heifer,Active,6/1/25,11/4/25,,,,,
2523,Fern,Calf,Heifer,Sold,6/12/25,,8/4/25,Herd Reduction,,,
2508,Tansy,Calf,Heifer,Active,4/21/25,11/4/25,,,,,
5,,,Brood Cows,Active,,,,,,,
22-1,,,Brood Cows,Active,3/2/22,,,,,,
22-2,,,Brood Cows,Active,3/7/22,,,,,,
22-6,,,Brood Cows,Active,9/22/22,,,,,,4/10/25
124,,,Brood Cows,Active,,,,,,,
255,,,Brood Cows,Active,,,,,,,
401,,,Brood Cows,Active,,,,,,,
404,,,Brood Cows,Active,,,,,,,
783,,,Brood Cows,Active,,,,,,,
1092,,,Brood Cows,Active,,,,,,,
1710,,,Brood Cows,Active,,,,,,,
1713,,,Brood Cows,Active,,,,,,,
2201,,,Brood Cows,Active,3/1/22,,,,,,
2202,,,Brood Cows,Active,3/3/22,,,,,,
2203,,,Brood Cows,Active,3/2/22,,,,,,
2311,,,Brood Cows,Active,5/18/23,,,,,,
2316,,,Brood Cows,Active,5/26/23,,,,,,
8119,,,Brood Cows,Active,,,,,,,
TFI 1,,,Brood Cows,Active,,,,,,,
TFI 10,,,Brood Cows,Active,,,,,,,
TFI 6,,,Brood Cows,Active,,,,,,,
WP 106,,,Brood Cows,Active,,,,,,,
22-5,,,Brood Cows,Sold,8/30/22,8/2/23,11/3/25,Cull,,,4/10/25
2316,,,Brood Cows,Active,5/26/23,11/30/23,,,,,9/1/25
2311,,,Brood Cows,Active,5/18/23,11/30/23,,,,,9/1/25
