year,sample_porcesed date,farm,type,synthesized,field2,field,location,cut_date,cut_month,cat,category, bales,moisture,dry_matter,crude_protein,available_protein,adicp_per,Adj_crude_protein_percentDM,soluble_protein_perCP,aNDF_percentDM,acid_detergent_fiber,crude_fat,total_digestible_nutrient,ne_lactation_mcal.lb,ne_maintenance_mcal.lb,ne_gain_mcal.lb,calcium,phosphorus,magnesium,potassium,sodium,iron_ppm,zinc_ppm,copper_ppm,mn_ppm,mo_ppm,sulfur_percent,rel_feed_value,ash_percent,degradable_protein_percentCP,chloride_ion_percent,HorseDE_Mcal.lb,lignin_per,ndicp_per,starch_per,non_fiber_carb_per,water_sol_carb_per,simple_sugars_per,,%NDICP as fed,?,notes
2022,7/28/22,APPLETON FARMS-,GRASS HAY,,BALEAGE2020,unknown,,6/22/22,june,22-Jun,baleage,,6.9,93.1,8.8,7,1.8,,,,52.6,0.8,48,0.32,0.34,0.09,0.37,0.18,0.19,0.84,,,,,,,0.16,,5.28,59,0.23,0.8,9.8,3.6,0.9,10.6,1.2,0.5,,,,
2022,7/28/22,APPLETON FARMS-,GRASS HAY,,BRIAR,briar,,6/4/22,june,22-Jun,first,27,8.7,91.4,7.8,7.2,0.6,,,,39.7,2,62,0.53,0.57,0.31,0.34,0.24,0.14,1.7,,,,,,,0.15,,4.48,64,0.51,0.98,4.3,2.8,0.2,21.5,10.6,8.2,,,,
2023,10/5/23,APPLETON FARM,MMG HAY,,BRIAR FIRST CUT,briar,,6/1/23,june,23-May,first,17,11.1,89,10.2,9.4,0.8,,,,54.9,2.6,64,0.61,0.62,0.36,0.57,0.25,0.16,1.21,,,,,,,0.14,,5.5,74,0.32,1.07,,,,,,,,,,
2022,9/27/22,APPLETON FARMS,DAMP GRASS HAY,,BROAD MEADOW EAST LATE REED CANARYGRASS,broad_meadow,1a,9/1/22,september,,first_delay,,19,81,10.4,9,1.4,,,,44.8,1.9,53,0.45,0.44,0.19,0.63,0.19,0.24,1.49,,,,,,,0.26,,7.24,63,0.7,0.9,8,4.1,0.5,16,3,1.9,,,,
2022,9/27/22,APPLETON FARMS,DAMP GRASS HAY,,BROAD MEADOW WEST LATE REED CANARYGRASS,broad_meadow,,9/1/22,september,,first_delay,,18.9,81.1,9.9,8.7,1.2,,,,42.7,1.8,56,0.47,0.48,0.23,0.4,0.18,0.24,0.88,,,,,,,0.2,,5.58,66,0.47,0.93,6.8,3.7,0.4,17.4,5.9,1,,,,
2022,7/28/22,APPLETON FARMS-,GRASS HAY,,combined triangle,triangle,,6/22/22,june,22-Jun,first,22,8.845454545,91.15454545,7.818181818,6.918181818,0.8,,,,39.46363636,2.263636364,60.45454545,0.534545455,0.554545455,0.299090909,0.44,0.206363636,0.180909091,1.610909091,,,,,,,0.145454545,,5.857272727,65.81818182,0.429090909,0.979090909,4.709090909,2.518181818,0.472727273,,,,,,,
average,,,113k,,DAIRYONE AVERAGE 2004-2022,national_avg,,2004-2022,,,average,,,92.2,11,10.11,0.89,,,,38.3,2.6,58.4,0.51,0.52,0.27,0.47,0.24,0.21,1.8,,,,,,,0.08,,7.8,64.4,0.59,0.91,5.2,3.3,1.4,19.4,11.3,7.03,,,,
2022,7/28/22,APPLETON FARMS-,GRASS HAY,,EAST WILLIAMS 1A,williams_1a,,6/26/22,june,22-Jun,first,8,8.7,91.3,8.2,7.4,0.9,,,,39,2.6,61,0.54,0.57,0.31,0.49,0.21,0.2,1.51,,,,,,,0.14,,5.24,62,0.47,1,4.8,2.8,0.8,22,11.3,6.9,,,,
2022,7/28/22,APPLETON FARMS-,GRASS HAY,,HORSE FIELD,horse,,6/22/22,june,22-Jun,first,20,9.4,90.6,9.4,8.6,0.9,,,,38.5,2.4,62,0.56,0.58,0.32,0.63,0.26,0.21,1.92,,,,,,,0.16,,6.9,66,0.52,0.98,4,3.2,0.5,21.6,11,7.6,,,,
2023,10/5/23,APPLETON FARM,DAMP MMG HAY,x,JIMMYS SECOND CUT,jimmys,,9/6/23,september,23-Aug,second,4,22.9,77.1,12.2,11,1.1,,,,62.7,3.6,61,0.54,0.58,0.32,0.68,0.34,0.28,1.37,,,,,,,0.29,,7.82,64,0.45,0.94,,,,,,,,,,
2022,7/28/22,APPLETON FARMS-,GRASS HAY,x,LAMSON HILL,lamson_n,,6/12/22,june,22-Jun,first,28,8.1,91.9,7.7,6.9,0.7,,,,40.1,2.1,62,0.55,0.58,0.32,0.44,0.18,0.24,1.29,,,,,,,0.13,,4.83,65,0.53,1.01,4.5,2.6,0.3,24.3,10.8,7.6,,,,
2022,7/28/22,APPLETON FARMS-,GRASS HAY,,lamson hill and s,lamson_n+s,,6/12/22,june,22-Jun,first,46,8.139130435,91.86086957,7.856521739,7.017391304,0.77826087,,,,40.76521739,2.17826087,61.2173913,0.534347826,0.564347826,0.304347826,0.45173913,0.195652174,0.232173913,1.423043478,,,,,,,0.11826087,,4.912173913,63.82608696,0.545652174,,,,,,,,,,,
2023,10/5/23,APPLETON FARM,MMG HAY,,LAMSON HILL JULY,lamson_s,,7/12/23,july,,forage,,8.8,91.2,10.3,9.4,1,,,,64.1,2.4,56,0.49,0.49,0.24,0.59,0.33,0.29,1.22,,,,,,,0.19,,6.32,68,0.58,0.94,,,,,,,,,,
2023,10/5/23,APPLETON FARM,MMG HAY,,LAMSON MAIN 2ND CUT,lamson_m,*,8/1/23,august,23-Aug,second,16,10.6,89.5,12.1,10.9,1.2,,,,61.7,2.8,60,0.53,0.55,0.29,0.68,0.41,0.28,1.07,,,,,,,0.2,,6.3,65,0.45,0.96,,,,,,,,,,
2023,10/5/23,APPLETON FARM,MMG HAY,,LAMSON MAIN FIRST CUT,lamson_m,*,6/1/23,june,23-May,first,40,9.1,91,8.9,7.9,0.9,,,,63.9,2.1,59,0.51,0.53,0.28,0.56,0.25,0.19,0.96,,,,,,,0.17,,4.94,67,0.54,0.97,,,,,,,,,,
2023,10/5/23,APPLETON FARM,MMG HAY,,LAMSON MIDDLE JULY,lamson_m,,7/12/23,july,,forage,,11.3,88.7,18.1,16.7,1.4,,,,55.8,2.3,58,0.54,0.52,0.27,1.04,0.58,0.36,1.27,,,,,,,0.25,,7.9,75,0.67,0.97,,,,,,,,,,
2023,10/5/23,APPLETON FARM,MMG HAY,,LAMSON N JULY,lamson_n,,7/12/23,july,,forage_regrowth,,9,91,12.9,11.9,1,,,,62.6,2.7,58,0.51,0.52,0.26,0.65,0.45,0.29,1.27,,,,,,,0.22,,7.4,74,0.5,0.93,,,,,,,,,,
2023,10/5/23,APPLETON FARM,MMG HAY,,LAMSON NORTH AND HILL,lamson_n+s,*,8/1/23,august,23-Aug,mix(first_delay+second),36,9.6,90.4,10.5,9.4,1.1,,,,64,2.6,59,0.51,0.53,0.28,0.66,0.35,0.27,1.15,,,,,,,0.2,,4.98,64,0.41,0.97,,,,,,,,,,
2023,10/5/23,APPLETON FARM,MMG HAY,,LAMSON NORTH FIRST CUT,lamson_n+s,,6/1/23,june,23-May,first,11,10.7,89.3,16,15.1,0.9,,,,57.4,2.9,64,0.6,0.62,0.36,0.52,0.38,0.2,1.92,,,,,,,0.19,,7.1,74,0.51,1,,,,,,,,,,
2023,10/5/23,APPLETON FARM,MMG HAY,,LAMSON NORTH MAY,lamson_n,,5/15/23,may,,forage,,9.2,90.8,14.7,14.1,0.7,,,,52.4,3,67,0.65,0.66,0.4,0.37,0.38,0.17,2.43,,,,,,,0.24,,7.94,76,0.72,1.05,,,,,,,,,,
2022,7/28/22,APPLETON FARMS-,GRASS HAY,x,LAMSON S,lamson_s,,6/12/22,june,22-Jun,first,18,8.2,91.8,8.1,7.2,0.9,,,,41.8,2.3,60,0.51,0.54,0.28,0.47,0.22,0.22,1.63,,,,,,,0.1,,5.04,62,0.57,0.96,5.3,3.3,0.4,19.6,7.8,6.2,,,,
2022,7/28/22,APPLETON FARMS-,GRASS HAY,,LAMSON-C,lamson_m,,6/12/22,june,22-Jun,first,36,8.4,91.6,7,6.4,0.6,,,,39.4,2.2,63,0.55,0.58,0.32,0.38,0.21,0.19,1.37,,,,,,,0.12,,4.31,63,0.55,1,4.3,2.4,0.2,23.6,11.5,7.9,,,,
2022,7/28/22,APPLETON FARMS-,GRASS HAY,,LEAH,leah+jimmys,,6/22/22,june,22-Jun,first,7,8.9,91.1,9.4,8.2,1.2,,,,39.5,2.6,59,0.53,0.54,0.28,0.61,0.25,0.27,1.47,,,,,,,0.17,,6.57,64,0.44,0.97,5.4,3.5,0.4,20,9.1,5.6,,,,
2023,10/5/23,APPLETON FARM,DAMP MMG HAY,,Leah-jimmy second,leah+jimmys,,9/6/23,september,23-Aug,second,9.5,24.63684211,75.36315789,13.3,11.98421053,1.331578947,,,,64.14736842,3.6,59.84210526,0.516842105,0.556842105,0.296842105,0.743684211,0.368947368,0.297368421,1.236842105,,,,,,,0.278421053,,7.547894737,62.84210526,0.432631579,0.916842105,,,,,,,,,,
2023,10/5/23,APPLETON FARM,DAMP MMG HAY,x,LEAHS 2ND CUT,leah,,9/6/23,september,23-Aug,second,5.5,25.9,74.1,14.1,12.7,1.5,,,,65.2,3.6,59,0.5,0.54,0.28,0.79,0.39,0.31,1.14,,,,,,,0.27,,7.35,62,0.42,0.9,,,,,,,,,,
2023,10/5/23,APPLETON FARM,MMG HAY,,LEAHS AND JIMMYS,leah+jimmys,,6/1/23,june,23-May,first,5,9.1,90.9,11.5,10.4,1.1,,,,63.1,2.5,62,0.54,0.57,0.31,0.54,0.25,0.19,0.98,,,,,,,0.23,,5,65,0.27,0.98,,,,,,,,,,
2022,7/28/22,APPLETON FARMS-,GRASS HAY,,LEO,leo,,6/4/22,june,22-Jun,first,28,8.4,91.6,8.2,7.4,0.8,,,,39.5,2.4,61,0.52,0.56,0.3,0.4,0.22,0.2,1.77,,,,,,,0.13,,5.57,69,0.51,0.96,4.5,2.7,0.6,19.9,9.2,7.6,,,,
2023,10/5/23,APPLETON FARM,MMG HAY,,LEOS 2ND CUT,leo,*,8/1/23,august,23-Aug,second,20,8.6,91.4,11.1,9.3,1.8,,,,59.8,3,59,0.54,0.54,0.28,0.86,0.39,0.26,1.33,,,,,,,0.2,,5.63,60,0.21,1.01,,,,,,,,,,
2023,10/5/23,APPLETON FARM,MMG HAY,,LEOS FIRST CUT,leo,*,6/1/23,june,23-May,first,5,10.7,89.3,13.9,12.8,1.1,,,,59,3.2,62,0.57,0.59,0.33,0.48,0.33,0.19,1.97,,,,,,,0.18,,8.04,69,0.56,0.97,,,,,,,,,,
2023,10/5/23,APPLETON FARM,MMG HAY,,LEOS MAY,leo,,5/15/23,may,,forage,,9.8,90.2,13.3,12.3,0.9,,,,50.2,3,68,0.67,0.68,0.41,0.44,0.33,0.19,1.37,,,,,,,0.23,,6.37,72,0.43,1.11,,,,,,,,,,
2022,7/28/22,APPLETON FARMS-,MAINLY GRASS HAY,,LOWER SUNSET,sunset_lower,,6/26/22,june,22-Jun,first,16,8.8,91.2,7.9,7.1,0.8,,,,42,2.1,61,0.56,0.57,0.31,0.64,0.2,0.22,1.35,,,,,,,0.13,,5.14,65,0.44,1.02,5.1,2.8,0.7,26.3,11.5,6.7,,,,
2022,9/27/22,APPLETON FARMS,GRASS HAY,,LOWER SUNSET LATE REED CANARYGRASS,sunset_lower,,9/1/22,september,,first_delay,,8.8,91.2,8.9,7.4,1.4,,,,41.3,2,56,0.49,0.48,0.23,0.58,0.18,0.24,1.38,,,,,,,0.18,,6.63,52,0.49,0.95,6.8,3.4,0.5,20.7,6.5,4.3,,,,
