2026_Fields,2025_Fields,2025_acreage,2025_type,2025_bird,2022_Fields,2019_Fields,ELU
Barberry Woods,Barberry Woods,10.44,wooded,,Barberry Woods,Barberry Woods,
Briar,Briar,7.73,normal,y,Briar,Briar,
Broad Meadow,Broad Meadow,38.8,wet,y,Broad Meadow,Broad Meadow,Broad Meadow
Bull,Bull,5.9,wet,,Bull,Bull,Steer Barn Meadow
Drainage,Drainage,13.13,wet,,Drainage,Drainage,Drainage Lot South
,GP1A,8,normal,,GP1,Great Pasture,Great Pasture
,GP1B,7.04,wet,,GP1,Great Pasture,Great Pasture
,GP2A,6.57,wet,,GP2,Great Pasture,Great Pasture
,GP2B,8.19,normal,,GP2,Great Pasture,Great Pasture
GP3A,GP3,27.19,normal,y,GP3,Great Pasture,Great Pasture
GP3B,GP3,27.19,normal,y,GP3,Great Pasture,Great Pasture
GP3C,GP3,27.19,normal,y,GP3,Great Pasture,Great Pasture
GP3D,GP3,27.19,normal,y,GP3,Great Pasture,Great Pasture
,GP4A,4.53,normal,y,GP4,Great Pasture,Great Pasture
,GP4B,3.42,wet,y,GP4,Great Pasture,Great Pasture
,GP4C,3.42,normal,y,GP4,Great Pasture,Great Pasture
,GP5A,2.76,wet,y,GP5,Great Pasture,Great Pasture
,GP5B,5.05,wet,y,GP5,Great Pasture,Great Pasture
,GP5C,2.61,wet,,GP5,Great Pasture,Great Pasture
,GP5D,4.25,normal,y,GP5,Great Pasture,Great Pasture
,GP6A,8.69,normal,y,GP6,Great Pasture,Great Pasture
,GP6B,7.04,wet,,GP6,Great Pasture,Great Pasture
,GP6C,6.51,normal,y,GP6,Great Pasture,Great Pasture
GP7B,GP7,10.8,normal,y,GP7,Great Pasture,Great Pasture
GP7A,GP7A,2.3,normal,,GP7,Great Pasture,Great Pasture
,GP8A,8.64,normal,,GP8,Great Pasture,Great Pasture West
,GP8B,3.4,normal,y,GP8,Great Pasture,Great Pasture West
,GP8C,3.75,wet,,GP8,Great Pasture,Great Pasture West
,GP Woods,2.3,wooded,,,,
Horse,Horse,3.7,normal,,Horse,Horse,Horse Field Upper
Jimmy's,Jimmy's,2.46,normal,,Jimmy's,Jimmy's,
Jimmy's Wet Meadow,Jimmy's Wet Meadow,8.55,wet,,Jimmy's Wet Meadow,Jimmy's Wet Meadow,Jimmy's Wet Meadow
Lamson Hill,Lamson Hill,4.66,normal,,Lamson Hill,Lamson Hill,Lamson Field South
Lamson South,,,,,,,Lamson Field South
Lamson Middle,Lamson Middle,9.5,normal,y,Lamson Middle,Lamson Middle,
Lamson North,Lamson North,5.8,normal,,Lamson North,Lamson North,
Leo's,Leo's,7,dry,,Leo's,Leo's,
Long Causeway,Long Causeway,3.37,wet,,Long Causeway,Long Causeway,Long Causeway
Long Meadow,Long Meadow,13.22,wet,,Long Meadow,Long Meadow,Long Meadow
Lower Barberry,Lower Barberry,1.88,wet,,Lower Barberry,Lower Barberry,Lower Barberry Hill
Lower Sunset,Lower Sunset,6,wet,y,Lower Sunset,Lower Sunset,Sunset Meadow
Lower Triangle,Lower Triangle,2.3,wet,,Lower Triangle,Lower Triangle,
Lower Underhill,Lower Underhill,2.31,wet,,Lower Underhill,Lower Underhill,Underhill Lower
Plains,Plains,21.99,normal,,Plains,Plains,
Plains Woods North,Plains Woods North,6.29,wet,,Plains Woods North,Plains Woods North,Plains Woods North
Playground,Playground,13.81,normal,y,Playground,Playground,
Playground Pond,Playground Pond,5.11,wet,,Playground Pond,Playground Pond,Playground Pond
Pond,Pond,5.74,wet,,Pond,Pond,Horse Field South
POW West,POW West,3.64,dry,,POW West,POW West,
POW East,POW East,3.71,normal,,POW East,POW East,
Sunset Field,Sunset Field,1.97,dry,,Sunset Field,Sunset Field,
Sunset Hill ,Sunset Hill ,4.55,normal,,Sunset Hill ,Sunset Hill ,Sunset Hill
Underhill,Underhill,4.41,normal,,Underhill,Underhill,
Underhill,Underhill Wet Meadow,6.9,wet,,Underhill Wet Meadow,Underhill Wet Meadow,Underhill Wet Meadow
Upper Triangle,Upper Triangle,4.35,normal,,Upper Triangle,Upper Triangle,
White Cottage,White Cottage,2.15,dry,,White Cottage,White Cottage,
Williams 1A,Williams 1A,3.9,normal,,Williams 1A,Williams 1A,
Williams Central,Williams Central,15.6,wet,,Williams Central,Williams Central,Williams Central
Williams West,Williams West,8.77,wet,y,Williams West,Williams West,
Wilson,Wilson,4.37,normal,y,Wilson,Wilson,Wilson's Field
,Crabby,0.87,normal,,,,
,Flush,0.6,normal,,,,
,Upper Home,0.54,normal,,,,
,Railroad,1.87,normal,,,,
,Lower Home,1.06,normal,,,,
