field,harvest_cycle,herd,acres_impacted,day_in,day_out,hay_in,hay_out,mow_in,cowharvest,hayharvest,harvest,sum,harvest_acres,sum_acres
Barberry Woods,1,feeders,10.44,NA,2544,NA,NA,NA,NA,NA,0,0,0,0
Barberry Woods,2,feeders,10.44,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Briar,1,brood,7.73,1802,1522,NA,NA,NA,280,NA,280,1490.1999999999998,2164.4,11055.987999999998
Briar,2,hay,7,NA,NA,3252,2617.4,NA,NA,634.5999999999999,634.5999999999999,1490.1999999999998,4442.199999999999,11055.987999999998
Briar,3,feeders,7.73,2601.6,2026,NA,NA,NA,575.5999999999999,NA,575.5999999999999,1490.1999999999998,4449.388,11055.987999999998
Broad Meadow,1,hay,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Broad Meadow,2,hay,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Broad Meadow 1a,1,hay,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Broad Meadow Dry,1,hay,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Bull,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,728,0,4295.2
Bull,1,feeders,5.9,3538,2810,NA,NA,NA,728,NA,728,728,4295.2,4295.2
Bull,2,feeders,5.9,NA,NA,NA,NA,NA,NA,NA,0,728,0,4295.2
Crabby,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Drainage,1,feeders,9.33,3776,2614,NA,NA,NA,1162,NA,1162,3656,10841.460000000001,43587.68000000001
Drainage,2,feeders,13.13,3745,2749,NA,NA,NA,996,NA,996,3656,13077.480000000001,43587.68000000001
Drainage,3,feeders,13.13,4126,2628,NA,NA,NA,1498,NA,1498,3656,19668.74,43587.68000000001
GP Woods,1,brood,2.3,1970,1793,NA,NA,NA,177,NA,177,177,407.09999999999997,407.09999999999997
GP1A,1,brood,8,NA,1270,NA,NA,NA,NA,NA,0,1918,0,9054.5
GP1A,2,brood,5.25,4252,3146,NA,NA,NA,1106,NA,1106,1918,5806.5,9054.5
GP1A,3,brood,8,4126,3720,NA,NA,NA,406,NA,406,1918,3248,9054.5
GP1A,3,NA,0,NA,NA,NA,NA,2880,NA,NA,406,1918,0,9054.5
GP1A,4,brood,8,2936,NA,NA,NA,NA,NA,NA,0,1918,0,9054.5
GP1A,5,brood,8,2040,NA,NA,NA,NA,NA,NA,0,1918,0,9054.5
GP1A,5,NA,8,NA,NA,NA,NA,NA,NA,NA,0,1918,0,9054.5
GP1B,1,brood,7.04,4150,2516,NA,NA,NA,1634,NA,1634,4220.2,11503.36,18206.847999999998
GP1B,1,NA,0,NA,NA,NA,NA,5134,NA,NA,1634,4220.2,0,18206.847999999998
GP1B,2,brood,7.04,3538,2585.8,NA,NA,NA,952.1999999999998,NA,952.1999999999998,4220.2,6703.4879999999985,18206.847999999998
GP1B,3,brood,7.04,2502,NA,NA,NA,NA,NA,NA,0,4220.2,0,18206.847999999998
GP1B,4,brood,7.04,2040,NA,NA,NA,NA,NA,NA,0,4220.2,0,18206.847999999998
GP2A,1,brood,3.75,3888,3524,NA,NA,NA,364,NA,364,3145.2,1365,10429.5
GP2A,1,NA,0,NA,NA,NA,NA,3230,NA,NA,364,3145.2,0,10429.5
GP2A,2,brood,3.75,3897.2,2460,NA,NA,NA,1437.1999999999998,NA,1437.1999999999998,3145.2,5389.499999999999,10429.5
GP2A,3,brood,3.75,3020,2040,NA,NA,NA,980,NA,980,3145.2,3675,10429.5
GP2B,1,brood,8.19,4630,2432,NA,NA,NA,2198,NA,2198,3341.9,18001.62,27370.161
GP2B,2,brood,8.19,3034,2562.1,NA,NA,NA,471.9000000000001,NA,471.9000000000001,3341.9,3864.8610000000003,27370.161
GP2B,3,brood,8.19,2936,2264,NA,NA,NA,672,NA,672,3341.9,5503.679999999999,27370.161
GP3,1,brood,14.68,3959,1938.5,NA,NA,NA,2020.5,NA,2020.5,4110,29660.94,83024.88
GP3,2,brood,24.86,4574,3093.5,NA,NA,NA,1480.5,NA,1480.5,4110,36805.229999999996,83024.88
GP3,3,brood,27.19,2772,2163,NA,NA,NA,609,NA,609,4110,16558.71,83024.88
GP4A,1,brood,4.53,3076,2527,NA,NA,NA,549,NA,549,549,2486.9700000000003,2486.9700000000003
GP4A,2,brood,4.53,3846,NA,NA,NA,NA,NA,NA,0,549,0,2486.9700000000003
GP4A,2,NA,0,NA,NA,NA,NA,NA,NA,NA,0,549,0,2486.9700000000003
GP4A,3,brood,4.53,2992,NA,NA,NA,NA,NA,NA,0,549,0,2486.9700000000003
GP4B,1,brood,3.42,3202,2012,NA,NA,NA,1190,NA,1190,3990,4069.7999999999997,8857.8
GP4B,2,brood,3.42,4728,3328,NA,NA,NA,1400,NA,1400,3990,4788,8857.8
GP4B,2,NA,0,NA,NA,NA,NA,2824,NA,NA,1400,3990,0,8857.8
GP4B,3,brood,3.42,2980.8,NA,NA,NA,NA,NA,NA,0,3990,0,8857.8
GP4C,1,brood,3.42,3160,2740,NA,NA,NA,420,NA,420,3080.6,1436.3999999999999,7184.052
GP4C,2,brood,3.42,3482,2502,NA,NA,NA,980,NA,980,3080.6,3351.6,7184.052
GP4C,2,NA,0,NA,NA,NA,NA,2516,NA,NA,980,3080.6,0,7184.052
GP4C,3,brood,3.42,2838.6,2138,NA,NA,NA,700.5999999999999,NA,700.5999999999999,3080.6,2396.0519999999997,7184.052
GP5A,1,brood,2.76,4466,2292,NA,NA,NA,2174,NA,2174,2174,6000.24,6000.24
GP5A,2,brood,2.76,2949.2,NA,NA,NA,NA,NA,NA,0,2174,0,6000.24
GP5B,1,brood,5.05,3608,3676,NA,NA,NA,-68,NA,0,2078,0,10493.9
GP5B,2,brood,5.05,4538,2460,NA,NA,NA,2078,NA,2078,2078,10493.9,10493.9
GP5C,1,brood,2.61,3888,2180,NA,NA,NA,1708,NA,1708,1708,4457.88,4457.88
GP5D,1,brood,4.25,NA,1795.8,NA,NA,NA,NA,NA,0,3322,0,7059.25
GP5D,2,brood,4.25,4112,2451,NA,NA,NA,1661,NA,1661,3322,7059.25,7059.25
GP5D,2,NA,0,NA,NA,NA,NA,2371.5,NA,NA,1661,3322,0,7059.25
GP6A,1,brood,8.69,3790,2768,NA,NA,NA,1022,NA,1022,3092,8881.18,17875.33
GP6A,2,brood,8.69,3551,2516,NA,NA,NA,1035,NA,1035,3092,8994.15,17875.33
GP6A,2,NA,0,NA,NA,NA,NA,2516,NA,NA,1035,3092,0,17875.33
GP6A,3,brood,8.69,2728,NA,NA,NA,NA,NA,NA,0,3092,0,17875.33
GP6A,4,brood,8.69,NA,1746,NA,NA,NA,NA,NA,0,3092,0,17875.33
GP6A,4,NA,8.69,NA,1746,NA,NA,NA,NA,NA,0,3092,0,17875.33
GP6B,1,brood,7.04,3020,1705,NA,NA,NA,1315,NA,1315,1315,9257.6,9257.6
GP6C,1,brood,6.51,2698,2248,NA,NA,NA,450,NA,450,3372,2929.5,17043.18
GP6C,2,brood,6.51,3916,3162,NA,NA,NA,754,NA,754,3372,4908.54,17043.18
GP6C,2,NA,0,NA,NA,NA,NA,NA,NA,NA,754,3372,0,17043.18
GP6C,3,brood,6.51,3552,2138,NA,NA,NA,1414,NA,1414,3372,9205.14,17043.18
GP7,1,brood,18.8,3429.866666666667,1783,NA,NA,NA,1646.8666666666668,NA,1646.8666666666668,3791.866666666667,30961.093333333338,49180.47333333334
GP7,2,brood,6.83,4168,2922,NA,NA,NA,1246,NA,1246,3791.866666666667,8510.18,49180.47333333334
GP7,3,brood,10.8,3142,2243,NA,NA,NA,899,NA,899,3791.866666666667,9709.2,49180.47333333334
GP7,4,brood,10.8,2166,NA,NA,NA,NA,NA,NA,0,3791.866666666667,0,49180.47333333334
GP8A,1,brood,8.64,1829,1390,NA,NA,NA,439,NA,439,5056,3792.96,43683.840000000004
GP8A,2,brood,8.64,4071,2012,NA,NA,NA,2059,NA,2059,5056,17789.760000000002,43683.840000000004
GP8A,3,brood,8.64,2558,0,NA,NA,NA,2558,NA,2558,5056,22101.120000000003,43683.840000000004
GP8B,1,brood,3.4,2320,2033,NA,NA,NA,287,NA,287,287,975.8,975.8
GP8B,2,hay,0,NA,NA,3217.8,NA,NA,NA,NA,0,287,0,975.8
GP8C,1,brood,3.75,NA,1914,NA,NA,NA,NA,NA,0,0,0,0
Horse,1,feeders,3.7,3776,2538.4,NA,NA,NA,1237.6,NA,1237.6,3385.4,4579.12,11222.96
Horse,2,feeders,3.7,4042,3342,NA,NA,NA,700,NA,700,3385.4,2590,11222.96
Horse,3,feeders,2.8,3375.8,1928,NA,NA,NA,1447.8000000000002,NA,1447.8000000000002,3385.4,4053.84,11222.96
Jimmy's,1,hay,3,NA,NA,3258,1574.6,NA,NA,1683.4,1683.4,1683.4,5050.200000000001,5050.200000000001
Jimmy's,2,hay,3,NA,NA,2712.2,NA,NA,NA,NA,0,1683.4,0,5050.200000000001
Lamson Hill,1,hay,0,NA,NA,2649,NA,NA,NA,NA,0,0,0,0
Lamson Middle,1,hay,0,NA,NA,4308,NA,NA,NA,NA,0,0,0,0
Lamson Middle,2,hay,10,NA,NA,NA,2544,NA,NA,NA,0,0,0,0
Lamson Middle,3,hay,10,NA,NA,2791.2,NA,NA,NA,NA,0,0,0,0
Lamson North,1,hay,6,NA,NA,3344.2,2376,NA,NA,968.1999999999998,968.1999999999998,1920.1999999999998,5809.199999999999,11521.199999999999
Lamson North,2,hay,6,NA,NA,3188,2236,NA,NA,952,952,1920.1999999999998,5712,11521.199999999999
Leo's,1,hay,7,NA,NA,4134.2,2292,NA,NA,1842.1999999999998,1842.1999999999998,3641.6,12895.399999999998,25491.199999999997
Leo's,2,hay,7,NA,NA,3881.4,2082,NA,NA,1799.4,1799.4,3641.6,12595.800000000001,25491.199999999997
Leo's,3,NA,7,2838,NA,NA,NA,NA,NA,NA,0,3641.6,0,25491.199999999997
Leo's,4,brood,7,NA,NA,NA,NA,NA,NA,NA,0,3641.6,0,25491.199999999997
Leos,1,hay,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Leos,2,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Leos,2,hay,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Long Meadow,1,brood,13.22,5442,2600,NA,NA,NA,2842,NA,2842,2842,37571.240000000005,37571.240000000005
Lower Barberry,1,feeders,1.88,5750,2894,NA,NA,NA,2856,NA,2856,2856,5369.28,5369.28
Lower Barberry,2,feeders,1.88,4714,NA,NA,NA,NA,NA,NA,0,2856,0,5369.28
Lower Barberry,2,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2856,0,5369.28
Lower Barberry,3,feeders,1.88,3272,NA,NA,NA,NA,NA,NA,0,2856,0,5369.28
Lower Home,1,feeders,1.06,NA,NA,NA,NA,NA,NA,NA,0,378,0,400.68
Lower Home,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,378,0,400.68
Lower Home,2,feeders,1.06,NA,2152,NA,NA,NA,NA,NA,0,378,0,400.68
Lower Home,3,feeders,1.06,2390,2012,NA,NA,NA,378,NA,378,378,400.68,400.68
Lower Sunset,1,feeders,6,3902,2728,NA,NA,NA,1174,NA,1174,4215,7044,25290
Lower Sunset,2,hay,6,NA,NA,5809,2768,NA,NA,3041,3041,4215,18246,25290
Lower Sunset,3,feeders,6,3384,NA,NA,NA,NA,NA,NA,0,4215,0,25290
Lower Triangle,1,feeders,2.3,3344.2,1970,NA,NA,NA,1374.1999999999998,NA,1374.1999999999998,4234.2,3160.6599999999994,9738.66
Lower Triangle,2,feeders,2.3,4658,2333,NA,NA,NA,2325,NA,2325,4234.2,5347.5,9738.66
Lower Triangle,3,feeders,2.3,2465,1930,NA,NA,NA,535,NA,535,4234.2,1230.5,9738.66
Lower Underhill,1,feeders,2.31,6338,2980.8,NA,NA,NA,3357.2,NA,3357.2,4722.2,7755.132,10908.282
Lower Underhill,2,feeders,2.31,5568,4203,NA,NA,NA,1365,NA,1365,4722.2,3153.15,10908.282
POW East,1,hay,3.7,NA,NA,3524,1953.8,NA,NA,1570.2,1570.2,1570.2,5809.740000000001,5809.740000000001
POW East,2,hay,3.7,NA,NA,3407.4,NA,NA,NA,NA,0,1570.2,0,5809.740000000001
Plains,1,hay,22,NA,NA,4840,2152,NA,NA,2688,2688,4163.6,59136,91599.2
Plains,2,hay,22,NA,NA,3865.6,2390,NA,NA,1475.6,1475.6,4163.6,32463.199999999997,91599.2
Plains,3,brood,21.99,3062,NA,NA,NA,NA,NA,NA,0,4163.6,0,91599.2
Plains Wet,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Plains Woods North,1,brood,6.29,NA,3202,NA,NA,NA,NA,NA,0,0,0,0
Playground,1,hay,14,NA,NA,4102.6,2166,NA,NA,1936.6000000000004,1936.6000000000004,1936.6000000000004,27112.400000000005,27112.400000000005
Playground,2,brood,13.81,2600,NA,NA,NA,NA,NA,NA,0,1936.6000000000004,0,27112.400000000005
Pond,0,feeders,0.8,4181.55,2670,NA,NA,NA,1511.5500000000002,NA,1511.5500000000002,3059.9500000000003,1209.2400000000002,5606.696
Pond,1,feeders,2.84,4244.8,2696.4,NA,NA,NA,1548.4,NA,1548.4,3059.9500000000003,4397.456,5606.696
Pow East,1,hay,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Railroad,1,feeders,1.87,4126,2810,NA,NA,NA,1316,NA,1316,2538.8,2460.92,4747.5560000000005
Railroad,2,feeders,1.87,3612.8,2390,NA,NA,NA,1222.8000000000002,NA,1222.8000000000002,2538.8,2286.6360000000004,4747.5560000000005
Railroad,3,feeders,1.87,3328,NA,NA,NA,NA,NA,NA,0,2538.8,0,4747.5560000000005
Sunset Field,1,feeders,1.97,2005.6,1508,NA,NA,NA,497.5999999999999,NA,497.5999999999999,1586.1999999999998,980.2719999999998,2144.542
Sunset Field,1,NA,0,NA,NA,NA,NA,1543,NA,NA,497.5999999999999,1586.1999999999998,0,2144.542
Sunset Field,2,feeders,1.97,2936,2614,NA,NA,NA,322,NA,322,1586.1999999999998,634.34,2144.542
Sunset Field,3,feeders,1.97,3034,2765,NA,NA,NA,269,NA,269,1586.1999999999998,529.93,2144.542
Sunset Hill,1,feeders,4.55,2418,2084.5,NA,NA,NA,333.5,NA,333.5,5765.1,1517.425,24713.779999999995
Sunset Hill,1,NA,0,NA,NA,NA,NA,2111.8,NA,NA,333.5,5765.1,0,24713.779999999995
Sunset Hill,2,feeders,4.55,4700,2572,NA,NA,NA,2128,NA,2128,5765.1,9682.4,24713.779999999995
Sunset Hill,3,feeders,4.55,4546,2261.9,NA,NA,NA,2284.1,NA,2284.1,5765.1,10392.654999999999,24713.779999999995
Sunset Hill,4,feeders,4.55,3048,2362,NA,NA,NA,686,NA,686,5765.1,3121.2999999999997,24713.779999999995
Underhill,1,feeders,4.41,5022,2731.1,NA,NA,NA,2290.9,NA,2290.9,2374.9,10102.869,10473.309000000001
Underhill,2,feeders,4.41,2516,2432,NA,NA,NA,84,NA,84,2374.9,370.44,10473.309000000001
Underhill Veg Perimeter,1,hay,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Underhill Wet Meadow,1,hay,8,NA,NA,6002,2782,NA,NA,3220,3220,3220,25760,25760
Underhill Wet Meadow,2,NA,6.9,3219,NA,NA,NA,NA,NA,NA,0,3220,0,25760
Underhill Wet Meadow,3,feeders,6.9,3219,NA,NA,NA,NA,NA,NA,0,3220,0,25760
Upper Triangle,1,hay,4,NA,NA,3170.4,2696.4,NA,NA,474,474,1353,1896,5719.65
Upper Triangle,2,feeders,4.35,3155,2276,NA,NA,NA,879,NA,879,1353,3823.6499999999996,5719.65
White Cottage,1,hay,2,NA,NA,2838,1653.6,NA,NA,1184.4,1184.4,1184.4,2368.8,2368.8
Williams 1A,1,hay,3,NA,NA,2759.6,3002.5,NA,NA,-242.9000000000001,0,726.7999999999997,0,3633.9999999999986
Williams 1A,2,hay,5,NA,NA,2633.2,1906.4,NA,NA,726.7999999999997,726.7999999999997,726.7999999999997,3633.9999999999986,3633.9999999999986
Williams 1a,1,hay,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Williams West,1,hay,5,NA,NA,4196,NA,NA,NA,NA,0,924,0,6468
Williams West,2,hay,5,NA,NA,NA,3028.2,NA,NA,NA,0,924,0,6468
Williams West,3,hay,7,NA,NA,3776,2852,NA,NA,924,924,924,6468,6468
Williams West,4,feeders,8.77,3202,NA,NA,NA,NA,NA,NA,0,924,0,6468
Williams West,5,NA,8.77,NA,NA,NA,NA,NA,NA,NA,0,924,0,6468
Wilson,1,hay,5,NA,NA,4518,2412,NA,NA,2106,2106,5459.4,10530,20590.2
Wilson,2,hay,3,NA,NA,5876,2522.6,NA,NA,3353.4,3353.4,5459.4,10060.2,20590.2
Wilson,3,feeders,4,3258,NA,NA,NA,NA,NA,NA,0,5459.4,0,20590.2
Wilson Wet,1,hay,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
