Date,Collector,field,Point,moisture_12,compaction_6,compaction_18,reason,texture,drainage,OM 2024,OM 2026-Logan 10 inch depth,Pred water capacity,Notes
5/12/26,Saskia,GP3,1,30.9,300,500,,loam,well drained,7.53,,,"3a, 3b, near south buffer"
5/12/26,Saskia,GP3,2,23,300,350,,loam,well drained,7.53,,,
5/12/26,Saskia,GP3,3,24.6,400,500,,loam,well drained,7.53,,,
5/12/26,Saskia,GP3,4,22.3,300,300,,loam,well drained,7.53,,,
5/12/26,Saskia,GP3,5,18.9,300,500,,loam,well drained,7.53,,,
5/12/26,Saskia,GP2B,1,32.6,250,500,,loam,somewhat excessively drained,6.68,,,
5/12/26,Saskia,GP2B,2,36.8,400,400,,loam,somewhat excessively drained,6.68,,,
5/12/26,Saskia,GP2B,3,26.4,300,300,,loam,somewhat excessively drained,6.68,,,
5/12/26,Saskia,GP2B,4,33,200,400,,loam,somewhat excessively drained,6.68,,,
5/12/26,Saskia,GP2B,5,27.7,250,650,high,loam,somewhat excessively drained,6.68,,,
5/15/26,Saskia & Andreas,Williams 1A,1,22.1,180,200,,sandy loam,somewhat excessively drained,,,,
5/15/26,Saskia & Andreas,Williams 1A,2,30.4,300,400,,sandy loam,somewhat excessively drained,,,,
5/15/26,Saskia & Andreas,Williams 1A,3,32.8,300,310,,sandy loam,somewhat excessively drained,,,,
5/15/26,Saskia & Andreas,Williams 1A,4,24.8,300,320,,sandy loam,somewhat excessively drained,,,,
5/15/26,Saskia & Andreas,Williams 1A,5,28.7,250,370,,sandy loam,somewhat excessively drained,,,,
5/15/26,,Williams West,1,22.3,180,400,,sandy loam,somewhat excessively drained,,5.34,,
5/15/26,,Williams West,2,43.4,300,650,high,sandy loam,somewhat excessively drained,,5.34,,
5/15/26,,Williams West,3,31.3,260,300,,sandy loam,somewhat excessively drained,,5.34,,
5/15/26,,Williams West,4,47.7,225,310,,sandy loam,somewhat excessively drained,,5.34,,
5/15/26,,Williams West,5,34.9,160,280,,sandy loam,somewhat excessively drained,,5.34,,
5/15/26,,Lower Sunset,1,30.7,200,290,,loam,well drained,,8.57,,
5/15/26,,Lower Sunset,2,32.6,160,250,,loam,well drained,,8.57,,
5/15/26,,Lower Sunset,3,34.7,225,260,,loam,well drained,,8.57,,
5/15/26,,Lower Sunset,4,16.6,300,300,,loam,well drained,,8.57,,
5/15/26,,Lower Sunset,5,40.4,200,350,,loam,well drained,,8.57,,
5/15/26,,Sunset Middle,1,22.9,260,300,,sandy loam,well drained,,,,rocky
5/15/26,,Sunset Middle,2,21.3,250,300,,sandy loam,well drained,,,,rocky
5/15/26,,Sunset Middle,3,32.1,250,250,,sandy loam,well drained,,,,
5/15/26,,Sunset Middle,4,31.9,280,350,,sandy loam,well drained,,,,
5/15/26,,Sunset Middle,5,19.5,300,400,,sandy loam,well drained,,,,rocky
5/15/26,,Sunset Upper,1,22.9,300,,rocky,sandy loam,excessively well drained,,,,
5/15/26,,Sunset Upper,2,12.7,400,650,high,sandy loam,excessively well drained,,,,
5/15/26,,Sunset Upper,3,24.6,275,,too rocky,sandy loam,excessively well drained,,,,
5/15/26,,Sunset Upper,4,20.1,450,650,high,sandy loam,excessively well drained,,,,
5/15/26,,Sunset Upper,5,18.7,400,,too rocky,sandy loam,excessively well drained,,,,
5/15/26,,Pond,1,43.5,250,400,,loam,very poorly drained,,,,
5/15/26,,Pond,2,56.3,250,300,,loam,very poorly drained,,,,
5/15/26,,Pond,3,62.5,175,260,,loam,very poorly drained,,,,
5/15/26,,Pond,4,55.6,200,300,,loam,very poorly drained,,,,
5/15/26,,Pond,5,61.1,150,225,,loam,very poorly drained,,,,
3-Jun,,Playground,1,20.9,350,650,high,loam,somewhat excessively drained,,9.36,,
3-Jun,,Playground,2,30.3,350,500,,loam,somewhat excessively drained,,,,
3-Jun,,Playground,3,20.5,350,500,,loam,somewhat excessively drained,,,,
3-Jun,,Playground,4,23.1,300,650,high,loam,somewhat excessively drained,,,,
3-Jun,,Playground,5,19.6,300,400,,loam,somewhat excessively drained,,,,
3-Jun,,leos,1,29.9,300,300,,loam,excessively well drained,,7.4,,
3-Jun,,leos,2,28.3,300,600,,loam,excessively well drained,,,,
3-Jun,,leos,3,17.8,350,400,,loam,excessively well drained,,,,
3-Jun,,leos,4,19.2,300,,rocky,loam,excessively well drained,,,,
3-Jun,,leos,5,13.3,350,,rocky,loam,excessively well drained,,,,
29-May,,GP8B,1,18.9,250,400,,sandy loam,well drained,,,,
29-May,,GP8B,2,17.2,250,350,,sandy loam,well drained,,,,
29-May,,GP8B,3,17.4,200,300,,sandy loam,well drained,,,,
29-May,,GP8B,4,18.4,200,400,,sandy loam,well drained,,,,
29-May,,GP8B,5,10.4,300,,rocky,sandy loam,well drained,,,,
29-May,,GP7B,1,23.1,300,450,,loam,well drained,,,,
29-May,,GP7B,2,24.5,250,300,,loam,well drained,,,,
29-May,,GP7B,3,32.4,300,450,,loam,well drained,,,,
29-May,,GP7B,4,24.6,300,,rocky,loam,well drained,,,,
29-May,,GP7B,5,36.5,400,650,high,loam,well drained,,,,
29-May,,GP6C,1,40.2,250,400,,loam,well drained,,,,
29-May,,GP6C,2,35.6,350,,rocky,loam,well drained,,,,
29-May,,GP6C,3,40.6,300,,rocky,loam,well drained,,,,
29-May,,GP6C,4,35.8,250,400,,loam,well drained,,,,
29-May,,GP6C,5,23.3,300,,rocky,loam,well drained,,,,
29-May,,GP5B,1,25.8,400,650,high,loam,well drained,,,,
29-May,,GP5B,2,17.8,300,,rocky,loam,well drained,,,,
29-May,,GP5B,3,19.6,300,650,high,loam,well drained,,,,
29-May,,GP5B,4,16.4,300,400,,loam,well drained,,,,
29-May,,GP5B,5,15.5,400,650,high,loam,well drained,,,,
29-May,,GP4C,1,22.8,300,400,,loam,well drained,,,,
29-May,,GP4C,2,22,250,500,,loam,well drained,,,,
29-May,,GP4C,3,12,300,,rocky,loam,well drained,,,,
29-May,,GP4C,4,24.3,300,,rocky,loam,well drained,,,,
29-May,,GP4C,5,18.1,300,400,,loam,well drained,,,,
1-Jun,,Lamson North,1,24.8,250,400,,sandy loam,somewhat excessively drained,,8.12,,
1-Jun,,Lamson North,2,21.1,240,450,,sandy loam,somewhat excessively drained,,,,
1-Jun,,Lamson North,3,27,300,500,,sandy loam,somewhat excessively drained,,,,
1-Jun,,Lamson North,4,30.6,250,350,,sandy loam,somewhat excessively drained,,,,
1-Jun,,Lamson North,5,28.6,300,500,,sandy loam,somewhat excessively drained,,,,
