herd,field,paddock_plot,move _type,days,date,,,,,,,
brood,GP1A,,day_in,4,4/15/2025,,,,,,,
brood,Briar,,day_in,4,4/19/2025,,,,,,,
brood,GP_woods,,day_in,3,4/23/2025,,,,,,,
brood,GP7,21,day_in,2,4/26/2025,,,,,,,
brood,GP8A,,day_in,2,4/28/2025,,,,,,,
brood,GP8B,,day_in,1,4/30/2025,,,,,,,
brood,GP6C ,20,day_in,4,5/1/2025,,,,,,,
brood,GP5D ,,day_in,2,5/5/2025,,,,,,,
brood,GP4C ,,day_in,2,5/7/2025,,,,,,,
brood,GP4B ,,day_in,3,5/9/2025,,,,,,,
brood,GP4A,10,day_in,2,5/12/2025,,,,,,,
brood,GP3 ,8,day_in,16,5/14/2025,,,,,,,
brood,GP5B,15,day_in,2,5/30/2025,,,,,,,
brood,GP6A,16,day_in,4,6/1/2025,,,,,,,
brood,GP7,,day_in,4,6/5/2025,,,,,,,
brood,GP2B,,day_in,8,6/9/2025,,,,,,,
brood,GP2A,,day_in,1,6/17/2025,,,,,,,
brood,GP1B,,day_in,1,6/18/2019,,,,,,,
brood,GP1A,,day_in,4,6/19/2025,,,,,,,
brood,GP5A,,day_in,2,6/23/2025,,,,,,,
brood,GP6A,,day_in,4,6/25/2025,,,,,,,
brood,GP7,,day_in,4,6/29/2025,,,,,,,
brood,GP8A,,day_in,2,7/3/2025,,,,,,,
brood,GP8B,,day_in,4,7/5/2025,,,,,,,
brood,GP8C,,day_in,1,7/9/2025,,,,,,,
brood,GP7,21,day_in,2,7/10/2025,,,,,,,
brood,GP6C ,,day_in,2,7/12/2025,,,,,,,
brood,GP6B,,day_in,1,7/14/2025,,,,,,,
brood,GP5D ,,day_in,3,7/15/2025,,,,,,,
brood,GP5C,,day_in,1,7/18/2025,,,,,,,
brood,GP5B,,day_in,3,7/19/2025,,,,,,,
brood,GP5A,,day_in,1,7/22/2025,,,,,,,
brood,GP3,,day_in,21,7/23/2025,,,,,,,
brood,GP2A,,day_in,3,8/13/2025,,,,,,,
brood,GP2B,,day_in,8,8/16/2025,,,,,,,
