paddock,paddock_name,paddock_area,Cover,equation_multiplier_a,equation_constant_b,residual_constant,residual_cover,total
33,Paddock 33,1,3650,140,500,1500,2150,3650
34,Paddock 34,1,3272,140,500,1500,1772,3272
35,Paddock 35,1,3258,140,500,1500,1758,3258
36,Paddock 36,1,2516,140,500,1500,1016,2516
37,Paddock 37,1,3356,140,500,1500,1856,3356
38,Paddock 38,1,3608,140,500,1500,2108,3608
39,Paddock 39,1,3146,140,500,1500,1646,3146
40,Paddock 40,1,3048,140,500,1500,1548,3048
41,Paddock 41,1,3370,140,500,1500,1870,3370
42,Paddock 42,1,3202,140,500,1500,1702,3202
43,Paddock 43,1,2488,140,500,1500,988,2488
44,Paddock 44,1,3594,140,500,1500,2094,3594
45,Paddock 45,1,3104,140,500,1500,1604,3104
46,Paddock 46,1,3048,140,500,1500,1548,3048
47,Paddock 47,1,2670,140,500,1500,1170,2670
48,Paddock 48,1,2838,140,500,1500,1338,2838
