paddock,paddock_name,paddock_area,Cover,equation_multiplier_a,equation_constant_b,residual_constant,residual_cover,total
1,Paddock 1,1,2936,140,500,1500,1436,2936
2,Paddock 2,1,3510,140,500,1500,2010,3510
3,Paddock 3,1,3048,140,500,1500,1548,3048
4,Paddock 4,1,2936,140,500,1500,1436,2936
5,Paddock 5,1,2894,140,500,1500,1394,2894
6,Paddock 6,1,3006,140,500,1500,1506,3006
7,Paddock 7,1,2992,140,500,1500,1492,2992
8,Paddock 8,1,2306,140,500,1500,806,2306
9,Paddock 9,1,2026,140,500,1500,526,2026
10,Paddock 10,1,1886,140,500,1500,386,1886
11,Paddock 11,1,3300,140,500,1500,1800,3300
12,Paddock 12,1,3006,140,500,1500,1506,3006
13,Paddock 13,1,2908,140,500,1500,1408,2908
14,Paddock 14,1,2222,140,500,1500,722,2222
15,Paddock 15,1,3244,140,500,1500,1744,3244
16,Paddock 16,1,2418,140,500,1500,918,2418
17,Paddock 17,1,2166,140,500,1500,666,2166
18,Paddock 18,1,3104,140,500,1500,1604,3104
19,Paddock 19,1,2166,140,500,1500,666,2166
20,Paddock 20,1,2810,140,500,1500,1310,2810
21,Paddock 21,1,0,140,500,1500,0,0
22,Paddock 22,1,1942,140,500,1500,442,1942
23,Paddock 23,1,3062,140,500,1500,1562,3062
24,Paddock 24,1,2600,140,500,1500,1100,2600
25,Paddock 25,1,2838,140,500,1500,1338,2838
26,Paddock 26,1,2698,140,500,1500,1198,2698
27,Paddock 27,1,2362,140,500,1500,862,2362
28,Paddock 28,1,2670,140,500,1500,1170,2670
29,Paddock 29,1,2012,140,500,1500,512,2012
30,Paddock 30,1,1984,140,500,1500,484,1984
31,Paddock 31,1,3496,140,500,1500,1996,3496
32,Paddock 32,1,2390,140,500,1500,890,2390
