field,bales,platemeter,prop,diff
Briar,4462.5,4442.199999999999,-0.4549019607843382,-20.30000000000109
Broad Meadow,9562.5,0,-100,-9562.5
Broad Meadow 1a,NA,0,NA,NA
Broad Meadow Dry,NA,0,NA,NA
GP8B,NA,0,NA,NA
Jimmy's,6056.25,5050.200000000001,-16.61176470588234,-1006.0499999999993
Lamson Hill,NA,0,NA,NA
Lamson Middle,20718.75,0,-100,-20718.75
Lamson North,6035,11521.199999999999,90.90637945318971,5486.199999999999
Leo's,8287.5,25491.199999999997,207.5861236802413,17203.699999999997
Leos,NA,0,NA,NA
Lower Sunset,15618.75,18246,16.821128451380552,2627.25
POW East,4075.75,5809.740000000001,42.54407164325586,1733.9900000000007
Plains,45262.5,91599.2,102.37326705330018,46336.7
Playground,22312.5,27112.400000000005,21.512156862745123,4799.900000000005
Pow East,NA,0,NA,NA
Underhill Veg Perimeter,4781.25,0,-100,-4781.25
Underhill Wet Meadow,15618.75,25760,64.92997198879551,10141.25
Upper Triangle,3187.5,1896,-40.51764705882353,-1291.5
White Cottage,1275,2368.8,85.78823529411767,1093.8000000000002
Williams 1A,3825,3633.9999999999986,-4.993464052287617,-191.00000000000136
Williams 1a,NA,0,NA,NA
Williams West,19528.75,6468,-66.87960058887538,-13060.75
Wilson,10200,20590.2,101.86470588235295,10390.2
Wilson Wet,NA,0,NA,NA
