field,sum
Barberry Woods,0
Briar,1490.1999999999998
Broad Meadow,0
Broad Meadow 1a,0
Broad Meadow Dry,0
Bull,728
Crabby,0
Drainage,3656
GP Woods,177
GP1A,1918
GP1B,4220.2
GP2A,3145.2
GP2B,3341.9
GP3,4110
GP4A,549
GP4B,3990
GP4C,3080.6
GP5A,2174
GP5B,2078
GP5C,1708
GP5D,3322
GP6A,3092
GP6B,1315
GP6C,3372
GP7,3791.866666666667
GP8A,5056
GP8B,287
GP8C,0
Horse,3385.4
Jimmy's,1683.4
Lamson Hill,0
Lamson Middle,0
Lamson North,1920.1999999999998
Leo's,3641.6
Leos,0
Long Meadow,2842
Lower Barberry,2856
Lower Home,378
Lower Sunset,4215
Lower Triangle,4234.2
Lower Underhill,4722.2
POW East,1570.2
Plains,4163.6
Plains Wet,0
Plains Woods North,0
Playground,1936.6000000000004
Pond,3059.9500000000003
Pow East,0
Railroad,2538.8
Sunset Field,1586.1999999999998
Sunset Hill,5765.1
Underhill,2374.9
Underhill Veg Perimeter,0
Underhill Wet Meadow,3220
Upper Triangle,1353
White Cottage,1184.4
Williams 1A,726.7999999999997
Williams 1a,0
Williams West,924
Wilson,5459.4
Wilson Wet,0
